Gene	Chi^2-statistic of rep3	pvalue of rep3	BH-corrected P-value of rep3	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2	Chi^2-statistic of rep1	pvalue of rep1	BH-corrected P-value of rep1	Average Chi^2-statistic	Number of detected	combined_pvalue	BH-corrected combined pvalue
S100A9	365.5410749009266	6.432140672371761e-79	7.708920595837556e-76	370.014897858692	6.910420671324908e-80	7.134515741666443e-77	480.47247823401136	8.135840075808024e-104	2.745574830916015e-100	405.34281699787664	3	4.2008179048441144e-256	9.93493434495633e-253
S100A8	350.6901927476756	1.0573706061658158e-75	1.1264521524353156e-72	384.5570058574207	4.8983811986616735e-83	7.08012018454558e-80	396.9387781147135	1.0191341067118237e-85	1.7196189493917507e-82	377.39532557327	3	5.261269503220019e-238	8.887787410796673e-235
LYZ	160.62738245637118	1.3419485421616831e-34	5.146641048898487e-32	169.3014606258695	1.8008113288005304e-36	7.230257485134129e-34	159.8172298612808	2.0071217993175822e-34	8.12804043851648e-32	163.24869098117384	3	9.01295004107867e-100	7.612723873982519e-97
IGF2BP1	173.80510263898537	1.919333085857669e-37	8.763126489144441e-35	143.73240508126474	5.923969848722457e-31	1.5856492628413781e-28	159.86246919572798	1.9625052861148348e-34	8.278501465261079e-32	159.1333256386594	3	3.954933467501997e-97	3.1178058835474074e-94
AZU1	125.15544233873119	5.983224739688986e-27	1.3341199721892558e-24	160.298864407383	1.5799142736037829e-34	5.437162121587876e-32	174.98164685537358	1.0693392034008202e-37	5.41299504761495e-35	153.4786512004959	3	1.6829455653022698e-93	1.170637135864667e-90
FARP1	232.30500234147442	4.389717798709985e-50	3.006329589573667e-47	201.52012226646698	1.9801587086287237e-43	9.540404658173192e-41	3.8019458286483054	0.2836598793614582	0.7674432438950836	145.8756901455299	3	1.2649543295074215e-88	7.122897593535836e-86
GPR110	103.68801601746486	2.50246058002724e-22	4.2094021125089776e-20	188.5571071803619	1.251097429976447e-40	5.651050704024864e-38	128.8735622517053	9.45834293587143e-28	2.7358932537932103e-25	140.37289514984406	3	4.252560212440509e-85	2.0114609804843603e-82
S100P	203.50183114494672	7.387230572725833e-44	4.72191778208635e-41				186.78669117711792	3.0179016547506454e-40	1.7972491972173837e-37	195.1442611610323	2	3.420240987547478e-81	1.4979388769536637e-78
C12orf56	134.9063340229247	4.7380778190248575e-29	1.2619080591336205e-26				253.0071671907449	1.4635401623118356e-54	1.1397600464034633e-51	193.95675060683485	2	1.1079278250414016e-80	4.679016618255204e-78
NANP	189.52808368711413	7.718803376328932e-41	4.6254929232651133e-38				177.5273869568941	3.015896828934032e-38	1.6069968155856915e-35	183.52773532200413	2	3.357556546001876e-76	1.2807453598861991e-73
