Gene	Chi^2-statistic of rep3	pvalue of rep3	BH-corrected P-value of rep3	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2	Chi^2-statistic of rep1	pvalue of rep1	BH-corrected P-value of rep1	Average Chi^2-statistic	Number of detected	combined_pvalue	BH-corrected combined pvalue
CLC	382.2217869451836	1.5697233736858436e-82	2.5084179511499782e-79	377.1231220231023	1.995644815747937e-81	2.4037541805683903e-78	402.38879475832704	6.725455834492359e-87	1.361770297368013e-83	387.244567908871	3	2.2078803927425688e-244	4.3513642740301456e-241
PRRC2B	406.9478233892932	6.921108531569781e-88	1.3271917720138208e-84	291.3443840779308	7.430144753953442e-63	5.966406237424615e-60	168.10810503305484	3.2589969681583814e-36	1.499731150256157e-33	288.80010416675964	3	1.0711328616817087e-180	1.2666146089386207e-177
PRG2	89.17987583625978	3.28624541900356e-19	3.98842038954508e-17	117.71434824985819	2.396913222837759e-25	5.094850547484849e-23	90.63501058749931	1.600148785971149e-19	2.314272329881701e-17	99.17641155787243	3	8.724104934781603e-59	2.2426639316041846e-56
HLA-DRB3	128.8247580904953	9.690177770578632e-28	2.212129153912094e-25				139.4036798259565	5.0820069200568874e-30	1.7741461399536522e-27	134.11421895822588	2	5.191951954007999e-55	1.1583930538895205e-52
SRGN	95.1234511246488	1.7369390562279912e-20	2.485637562852832e-18	72.80818177614967	1.0685158818278881e-15	1.0435357132392094e-13	101.78541191811676	6.420473527927666e-22	1.1607298927989232e-19	89.90568160630507	3	6.791276628277266e-53	1.384600795334115e-50
CD74	97.84138525943676	4.524672286683081e-21	6.997186755599579e-19	80.10017922586786	2.9211086703327103e-17	3.350928946110237e-15	60.06081756837533	5.704968737883824e-13	3.824973741876546e-11	79.33412735122666	3	3.389047227180262e-46	5.808041081363275e-44
SGSM1	86.40210546877563	1.297673259032179e-18	1.499047133445847e-16	77.71938010256801	9.465415696578352e-17	1.0059788123407611e-14	72.95736659387421	9.927014800720065e-16	8.81588577565701e-14	79.02628405507262	3	5.305914613470142e-46	8.836963423138652e-44
EPX	69.33250791291945	5.931703565799982e-15	4.513743951499224e-13	86.1941774871659	1.4381522614401155e-18	1.8559868559692347e-16	79.18804084279648	4.58341647764432e-17	5.099176749414407e-15	78.2382420809606	3	1.6711705785119072e-45	2.744665568181015e-43
PHGDH	52.288416993358325	2.5997820815531288e-11	1.354712532496272e-09	92.85958937997671	5.324188217173473e-20	8.186788988406957e-18	71.72668321712494	1.821638111196421e-15	1.5898503653234977e-13	72.29156319682	3	9.502869407993247e-42	1.2916256407990825e-39
HLA-A	72.28909528430755	1.3803418073868465e-15	1.1121611133802587e-13	76.58850846599884	1.6542531034561063e-16	1.732650315750331e-14	58.23066205572986	1.4033410678236051e-12	8.935487402922127e-11	69.03608860201207	3	1.0696382219374785e-39	1.3455821249373068e-37
AKAP12	58.323272800790654	1.340870610580947e-12	7.887280622239336e-11	36.319206844263846	6.410495517020804e-08	2.40044824360152e-06	85.91173822047932	1.6536328016493518e-18	2.262348443770005e-16	60.18473928851129	3	3.881526617167206e-34	3.956814848965708e-32
B2M	51.693445394008094	3.4812793397159744e-11	1.7945433499568145e-09	53.285122969789064	1.5938889149927107e-11	9.519863792274645e-10	75.38983483188866	2.9891795891422487e-16	2.9381023456772946e-14	60.12280106522861	3	4.244281858919108e-34	4.2896267505742276e-32
TPM4	52.84913772769521	1.9742889977558867e-11	1.040081478597991e-09	50.90443553386571	5.126883409453765e-11	2.8501528000094123e-09	75.9809195555817	2.232812915734113e-16	2.3066324447849152e-14	59.91149760571421	3	5.756584938019509e-34	5.76878109254921e-32
OSM	54.599514667683465	8.358855941791206e-12	4.632642241034341e-10	26.951123788857604	6.0279066031475445e-06	0.0001555845750748	94.18087005421266	2.769142574901921e-20	4.380437410672976e-18	58.577169503584564	3	3.940554067646855e-33	3.850996020654881e-31
MDN1	41.69643615861458	4.65358749072216e-09	1.806420925548343e-07	80.44053654324972	2.4690999472101464e-17	2.878094406207698e-15	1.0514306655727128	0.7888099156798986	1.0	41.062801122479	3	2.969584515266053e-22	1.7557668446510535e-20
CARNS1	74.33870071502123	5.021486898870095e-16	4.298751463068436e-14				29.84740666607084	1.4859097106043687e-06	4.011559976042301e-05	52.093053690546036	2	3.353309892904397e-20	1.770218280517611e-18
UGP2	33.47504839615796	2.556954535310987e-07	7.566691384123995e-06	32.08818464891828	5.014224447386628e-07	1.6699447042056755e-05	38.09091649220007	2.7039361840786867e-08	9.990748148763731e-07	34.551383179092106	3	2.8630863673998e-18	1.3990081113430844e-16
ATOH8	86.2639130165723	1.3894203802193499e-18	1.549042163435247e-16				7.808106734243772	0.0501485874347799	0.2916164843134476	47.03600987540804	2	4.313328035238095e-18	2.0649839682870638e-16
GMFG	34.424903729097764	1.6114265643997808e-07	4.967960739377845e-06	23.391301149752827	3.346655014399716e-05	0.0007176936435924	44.78854784951528	1.0261358101314749e-09	4.700723503063823e-08	34.20158424278862	3	4.6724985983871045e-18	2.2279151583035286e-16
CST7	42.72393639150107	2.8165723448021648e-09	1.139463951137686e-07	30.54902924183888	1.0577363749753132e-06	3.2390935516722825e-05	29.087212722242626	2.1468935420416217e-06	5.6454935635401e-05	34.120059451860854	3	5.2372470758870135e-18	2.487166533026664e-16
PSMB8	47.205960494427345	3.142088584089401e-10	1.4210540256721306e-08	24.42535188939484	2.035921930645946e-05	0.0004569443413906	29.09145624204357	2.142489671503838e-06	5.648584748516889e-05	33.57425620862191	3	1.1236906714255447e-17	5.210840074355713e-16
C19orf10	30.870391157517147	9.051732134029093e-07	2.3908542066410725e-05	30.957869853015342	8.675890334249691e-07	2.714314261715261e-05	37.73680609853373	3.2133775336960155e-08	1.1495489099342208e-06	33.18835570302207	3	1.9267581070664874e-17	8.830974657388066e-16
PGM1	26.85322067473465	6.319587406852544e-06	0.0001389729450846	29.376525778137182	1.8663896524383137e-06	5.417027316534817e-05	42.495461848324325	3.149345610017847e-09	1.3567648917370502e-07	32.90840276706539	3	2.848336238152833e-17	1.2855563364945518e-15
DPP4	38.56242809158695	2.148576897633345e-08	7.331158467796625e-07	5.1127261568417355	0.1637264462584605	0.5848991730647032	54.893383932661145	7.235343190496897e-12	4.283661664362022e-10	32.85617939369661	3	3.0637125335635106e-17	1.3775057303950008e-15
CKAP4	29.385673839846522	1.8581435491881749e-06	4.627501389510706e-05	27.442390550775084	4.7550051154586195e-06	0.0001254175984285	33.284965800565736	2.804339152565837e-07	8.76269431499276e-06	30.037676730395773	3	1.5452298242182383e-15	6.257651599787899e-14
MAGEB1	43.10462983243732	2.338280736818907e-09	9.54018540622114e-08				38.010793892089616	2.8116413626976442e-08	1.031342650577933e-06	40.55771186226346	2	2.1015232221766567e-15	8.36717579199965e-14
