Gene	Chi^2-statistic of rep3	pvalue of rep3	BH-corrected P-value of rep3	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2	Chi^2-statistic of rep1	pvalue of rep1	BH-corrected P-value of rep1	Average Chi^2-statistic	Number of detected	combined_pvalue	BH-corrected combined pvalue
HBG2	629.9903964677865	3.1740834452960615e-136	3.043311207349863e-132	754.9123344497424	2.59616259602033e-163	1.8762467081438919e-159	642.868930348608	5.122249736855233e-139	5.1857656335922376e-135	675.9238870887124	3	0.0	0.0
HBG1	497.23942943990073	1.8920100438619937e-107	9.070296150274399e-104	600.8171922773628	6.7024975125584555e-130	2.421947476162998e-126	378.83654960748635	8.491733656178022e-82	1.074628894189329e-78	492.2977237749167	3	0.0	0.0
HBZ	258.66293815275884	8.75050619035426e-56	7.627259395737879e-53	155.0132998558931	2.1836810617569935e-33	6.861505666659911e-31	301.9735497163436	3.720766898450312e-65	3.766904407991096e-62	238.54992924166515	3	2.9859506849364277e-148	2.9424055707811043e-145
CHI3L1	155.7107915638505	1.544163807903186e-33	5.483497255620646e-31	113.96994372186134	1.5340449083003148e-24	3.0795951534128815e-22	169.39209168053526	1.721483223938143e-36	8.299188647214171e-34	146.35760898874904	3	6.210450619845864e-89	3.671928928983868e-86
PRDX2	115.41961588477258	7.477281899154698e-25	1.405728997041083e-22	147.85785659047903	7.635626264615195e-32	2.1224104236297694e-29	125.61895769640905	4.7541671871753846e-27	1.3008429352152323e-24	129.63214339055358	3	3.20058887467662e-78	1.305067704932794e-75
PNMT	136.55146070939873	2.0939269180971077e-29	6.083809482034871e-27	129.6071457733844	6.572541393766799e-28	1.5322502146049247e-25	88.32489930832024	5.015445909476913e-19	7.052274220492257e-17	118.16116859703443	3	6.883886417155784e-71	2.3941752024372694e-68
HBE1	187.01074760370773	2.6996621964742537e-40	1.5226094788114793e-37	70.68823738048667	3.0400194747439864e-15	2.7462775929968484e-13	74.49085305524494	4.658277817209743e-16	4.44909477560674e-14	110.72994601314646	3	3.8079282252381013e-66	1.1849671385115934e-63
OAT	87.86906084384195	6.283400063142121e-19	7.437683926593413e-17	103.78981281019676	2.379421822663701e-22	4.094305121997753e-20	82.00528417349425	1.1398352340524474e-17	1.4072795011642654e-15	91.221385942511	3	9.925804842293999e-54	2.0959400403594024e-51
CNRIP1	79.76857267730881	3.440931790531645e-17	3.2344758830997465e-15	54.84665640046978	7.403334376177089e-12	4.69332434531858e-10	123.08943786472145	1.667266000415512e-26	4.2198502470516606e-24	85.90155564750002	3	2.3533473635758153e-50	4.5620217334891836e-48
HEMGN	79.83564451414449	3.3288152771331704e-17	3.1600674135794885e-15	56.982937200072996	2.591523664141395e-12	1.6872920288963837e-10	63.249102890253155	1.1879812406364224e-13	8.652605813095784e-12	66.68922820149022	3	3.206505742258516e-38	3.829992969919895e-36
LTF	83.92445571435155	4.4157622251497964e-18	4.70425869052625e-16	42.031947053339685	3.949982579285113e-09	1.7196701265357534e-07	61.65787803351616	2.6000158911503083e-13	1.8407385232171824e-11	62.538093600402476	3	1.2989413809244863e-35	1.3592904273833674e-33
