Gene	Chi^2-statistic of rep3	pvalue of rep3	BH-corrected P-value of rep3	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2	Chi^2-statistic of rep1	pvalue of rep1	BH-corrected P-value of rep1	Average Chi^2-statistic	Number of detected	combined_pvalue	BH-corrected combined pvalue
HLA-C	45.41861290294068	7.5386758609078e-10	3.241292562976861e-08	8.159913141497928	0.042819846442106006	0.2572394266310059	54.68674626894451	8.008281839846938e-12	4.659531341759218e-10	36.08842410446104	3	3.3144945469843766e-19	1.682141545840784e-17
PLEK	9.125118992373173	0.0276727942912466	0.17915378235278398	35.766713892492064	8.388922699182848e-08	3.061956785201738e-06	45.31132516931243	7.945112016966222e-10	3.672891052957354e-08	30.067719351392554	3	1.4821999877814554e-15	6.023029159971034e-14
F13A1	26.858876002356325	6.302361891489674e-06	0.0001389127490013	23.671868310401315	2.924687571949171e-05	0.0006328358407927	30.62377976186816	1.0201042495466372e-06	2.8450510805537622e-05	27.051508024875265	3	9.527848067941527e-14	3.313729511864957e-12
PECAM1	31.41851703096971	6.93912770659657e-07	1.874150885939378e-05	4.471907587289865	0.2148097957889683	0.665993305090894	20.60134011556166	0.0001273761241396	0.0021528478811178	18.830588244607075	3	6.3218503803043976e-09	1.394699267669767e-07
FAM35B				46.88124265924346	3.683758380296548e-10	1.8110559057417112e-08	1.6131304016162722	0.6564162675613177	0.9936540509555593	24.24718653042987	2	9.41147010986454e-09	2.0382900009001503e-07
TAPBP	18.08721214637218	0.0004220028706934	0.0058810516340238	5.393881450864145	0.1451252613932541	0.5471154220600144	28.44853675748674	2.924022932031163e-06	7.532521161293509e-05	17.309876784907686	3	4.6609505211848224e-08	9.201292139066866e-07
RAB27B	19.00315087508263	0.0002729890644071	0.0041219199205289	9.198262051288447	0.0267677834019718	0.1907798527081368	23.04003264695352	3.9614506825838565e-05	0.0007639186040091	17.080481857774867	3	6.287264796831348e-08	1.2248254731883144e-06
FUT4	2.267132119216277	0.5188467463334898	0.942892836210292	36.16184844687605	6.920968079152037e-08	2.5650172465657317e-06				19.214490283046164	2	9.259979192362698e-07	1.5229381634170913e-05
SDPR	14.700258913789074	0.0020915691515516	0.02297132305278	8.121250027698506	0.0435711834453314	0.260238795668934	15.157693244407506	0.0016867294633006	0.0206237307807433	12.659734061965029	3	1.7581750969024802e-05	0.00023049246697197148
PPP1R12B	23.979534647601184	2.522694093330546e-05	0.0004847212618607				6.954893359326541	0.0733494558430516	0.3714806858204377	15.467214003463864	2	2.609054724795321e-05	0.00033209980754256914
RFPL4A	19.507633970945584	0.0002146706537866	0.0033359193330738	11.26427305647938	0.0103794074311859	0.0928366058232433				15.385953513712485	2	2.802161836986674e-05	0.00035439105585419704
MXRA5	12.532973340833516	0.0057635584718725	0.0537558352415501	0.6029565551236794	0.8957552052742859	1.0	22.07344529645817	6.297555274611089e-05	0.0011634388613168	11.736458397471788	3	5.472303418102839e-05	0.0006582908231848023
DOLPP1	7.82586263108376	0.0497510878392739	0.2765295247553384				21.304343009552547	9.101374954177895e-05	0.0015777794526728	14.565102820318153	2	5.748031068689314e-05	0.0006879601962272383
IL18	3.3423063952942766	0.3417976546776469	0.8154157534335106	12.066923182130393	0.0071573907787827	0.0689686175443506	19.47956740758116	0.0002175617791232	0.003507317598477	11.629598995001944	3	6.233511307106006e-05	0.0007371127120652853
NTRK1							21.741500582206086	7.38292197601773e-05	0.0013276146018686	21.741500582206086	1	7.38292197601773e-05	0.0008626783830672892
PFKP	11.011782595785496	0.0116623329414798	0.0924119406966188	9.827907982905849	0.0200870754035009	0.1539441081029709	13.243234726765573	0.0041390613212693	0.0426719519516609	11.36097510181897	3	8.638155324012511e-05	0.000993639948506303
IFIT5	12.772289348086195	0.0051558367633315	0.0490418282607369				15.248599817357526	0.0016160679271699	0.0199768885160787	14.01044458272186	2	9.31154168208976e-05	0.0010648837561964355
CD244	20.336993593646053	0.0001445194502767	0.0023605664212149				7.346979521676477	0.0616233421959268	0.3341589268299751	13.841986557661267	2	0.00010775135640148316	0.00121580132580872
ERCC2	26.197907522893853	8.6693834981883e-06	0.0001838983384527	2.5863405109061843	0.4598892655933178	0.9002220266638429	4.627559506614068	0.2011905968841077	0.6517931529135059	11.137269180138032	3	0.0001132019794237802	0.0012712378031207985
GUCY1B3				6.093720879803102	0.10713847175051701	0.4642024792212151	21.349093017842826	8.908562352873268e-05	0.0015496612587712	13.721406948822965	2	0.00011960150763997312	0.001332976275063791
COMT	15.956670654854536	0.0011574165360182	0.0139238516277834	3.6153251608184527	0.3061099664308908	0.7858816083112071	12.936562832910244	0.0047758197288521	0.0479666656100187	10.836186216194413	3	0.0001625782679950002	0.0017702467946969407
TCP11L1	4.58613764810251	0.204734494641999	0.644873303097072	2.381717747955129	0.4970469313320331	0.9243845014762232	24.449849335876014	2.0120710123644824e-05	0.0004217434146827	10.472568243977882	3	0.0002509388221273879	0.0026167121443177797
