	pathway	overlap	gene list	pvalue	padjust_by_bonferroni	padjust_by_BH
0	type I interferon signaling pathway (GO:0060337)	27/41	USP18,IRF5,HLA-F,IFIT3,OAS3,PSMB8,HLA-E,OASL,HLA-G,IRF7,STAT1,ADAR,ISG20,XAF1,STAT2,IRF6,HLA-C,RNASEL,MX1,OAS2,ISG15,OAS1,GBP2,IFITM3,IFIT1,IFI35,MX2	1.4888981052499448e-14	5.90794768163178e-11	3.93863178775452e-11
1	cellular response to type I interferon (GO:0071357)	27/41	USP18,IRF5,HLA-F,IFIT3,OAS3,PSMB8,HLA-E,OASL,HLA-G,IRF7,STAT1,ADAR,ISG20,XAF1,STAT2,IRF6,HLA-C,RNASEL,MX1,OAS2,ISG15,OAS1,GBP2,IFITM3,IFIT1,IFI35,MX2	1.4888981052499448e-14	5.90794768163178e-11	3.93863178775452e-11
2	response to type I interferon (GO:0034340)	27/42	USP18,IRF5,HLA-F,IFIT3,OAS3,PSMB8,HLA-E,OASL,HLA-G,IRF7,STAT1,ADAR,ISG20,XAF1,STAT2,IRF6,HLA-C,RNASEL,MX1,OAS2,ISG15,OAS1,GBP2,IFITM3,IFIT1,IFI35,MX2	3.635404895115539e-14	1.4425286623818457e-10	4.808428874606152e-11
3	cytokine-mediated signaling pathway (GO:0019221)	59/176	RPS6KA5,USP18,DUOX1,IRF5,PLP2,HLA-F,IFNGR1,DUOX2,UBE2E1,RIPK1,UBE2L6,IFIT3,PML,ZC3H15,OAS3,PSMB8,HERC5,HLA-E,OASL,POM121,KPNA1,TXNDC17,RPS6KA4,UBC,HLA-G,IRF7,B2M,STAT1,ADAR,NUP35,ISG20,STAT2,XAF1,UBA7,IRF6,HLA-C,RNASEL,MX1,OAS2,TRAF2,GBP1,ISG15,IL1RAP,CXCL10,KPNA4,OSMR,OAS1,TRADD,GBP2,FLNB,IFITM3,IFIT1,EIF4A1,NUP153,NEDD4,IFI35,EIF4G1,CD74,MX2	6.952303205476664e-12	2.7586739119331405e-08	6.896684779832851e-09
4	response to virus (GO:0009615)	53/152	TRIM25,ITGA2,IRF5,IFNGR1,EIF2AK2,DHX36,DUOX2,IFIH1,RSAD2,ABCE1,IKBKB,IFIT3,ENO1,PML,ZC3HAV1,OAS3,CXADR,HERC5,TRIM22,ABCF3,OASL,SERPINB3,IRF7,STAT1,FAM111A,ADAR,ISG20,DHX58,APOBEC3B,STAT2,SLC20A2,RNASEL,IFI44L,OAS2,MX1,GBP1,ISG15,DDX3X,HSPA1A,CXCL10,IFI44,IFI16,OAS1,DDX58,APOBEC3A,TRIM5,IFITM3,IFIT1,IKBKG,SLC1A5,DDX60,HSPB1,MX2	1.513032030340732e-11	6.003711096392025e-08	1.2007422192784049e-08
5	epidermis development (GO:0008544)	27/55	ELF3,COL17A1,KRT17,KRT14,CASP14,IGF1R,EVPL,BNC1,SPRR1B,S100A7,KRT16,SPRR1A,EGFR,FABP5,ALDH3A2,DSP,NSDHL,KRT5,KDF1,SPRR3,TFAP2C,CELSR1,SPRR2D,UGCG,SCEL,CRABP2,ATP2A2	2.379301386779904e-10	9.441067902742659e-07	1.5735113171237765e-07
6	DNA strand elongation involved in DNA replication (GO:0006271)	19/30	RFC4,PCNA,RFC2,MCM3,PRIM1,GINS2,POLD2,MCM4,GINS4,PRIM2,POLA2,MCM7,MCM2,MCM6,MCM5,POLD1,POLD3,RFC5,RPA1	3.538659480291829e-10	1.4041400817797976e-06	1.872186775706397e-07
7	DNA strand elongation (GO:0022616)	19/30	RFC4,PCNA,RFC2,MCM3,PRIM1,GINS2,POLD2,MCM4,GINS4,PRIM2,POLA2,MCM7,MCM2,MCM6,MCM5,POLD1,POLD3,RFC5,RPA1	3.538659480291829e-10	1.4041400817797976e-06	1.872186775706397e-07
8	epithelium development (GO:0060429)	38/101	ELF3,NOTCH1,COL17A1,KRT17,CTNNB1,EPHA2,KRT14,CASP14,JAG1,IGF1R,EVPL,BNC1,SPRR1B,S100A7,KRT16,SPRR1A,STAT1,EGFR,FABP5,RBBP6,ALDH3A2,NCKAP1,DSP,SDC4,KRT5,NSDHL,SDC1,PLXNA2,KDF1,SPRR3,TFAP2C,CELSR1,SPRR2D,SMAD3,UGCG,SCEL,CRABP2,ATP2A2	9.95133141302562e-10	3.948688304688566e-06	4.387431449653962e-07
9	defense response to virus (GO:0051607)	35/91	TRIM25,IRF5,EIF2AK2,RSAD2,IFIT3,PML,ZC3HAV1,OAS3,CXADR,HERC5,TRIM22,ABCF3,OASL,STAT1,FAM111A,ADAR,ISG20,DHX58,APOBEC3B,STAT2,RNASEL,IFI44L,OAS2,MX1,GBP1,ISG15,CXCL10,IFI16,OAS1,APOBEC3A,TRIM5,IFITM3,IFIT1,DDX60,MX2	2.3014741041330422e-09	9.132249245199912e-06	9.132249245199912e-07
